# GNESTE Database | Hydro Power | 2024.04.25 | CC-BY-4.0 | Citation: Luke Hatton; Nathan Johnson; Lara Dixon; Bosi Mosongo; Savanha De Kock; Andrew Marquard; Mark Howells; Iain Staffell. The Global and National Energy Systems Techno-Economic (GNESTE) Database: Cost and performance data for electricity generation and storage technologies. 2024. Submitted to Data in Brief.
Technology,ID,Continent,Country,ISO2,ISO3,Variable,Code,Unit,Category,Source,Notes,Currency,Energy/Power Ratio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2030,2040,2050
Hydro,H0001,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Reservoir,"NREL, 2023",Hydropower - NPD 1 - Advanced,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,3267.53024,3267.53024,3267.53024,3267.53024,3267.53024,3103.50196,2822.15544,2822.15544
Hydro,H0002,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Reservoir,"NREL, 2023",Hydropower - NPD 1 - Moderate,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,3267.53024,3267.53024,3267.53024,3267.53024,3267.53024,3267.53024,3136.09036,3136.09036
Hydro,H0003,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Reservoir,"NREL, 2023",Hydropower - NPD 1 - Conservative,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,3267.53024,3267.53024,3267.53024,3267.53024,3267.53024,3267.53024,3267.53024,3267.53024
Hydro,H0004,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Reservoir,"NREL, 2023",Hydropower - NPD 2 - Advanced,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,6406.87944,6406.87944,6406.87944,6406.87944,6406.87944,3213.21624,2922.0932,2922.0932
Hydro,H0005,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Reservoir,"NREL, 2023",Hydropower - NPD 2 - Moderate,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,6406.87944,6406.87944,6406.87944,6406.87944,6406.87944,4894.77768,3246.89092,3246.89092
Hydro,H0006,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Reservoir,"NREL, 2023",Hydropower - NPD 2 - Conservative,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,6406.87944,6406.87944,6406.87944,6406.87944,6406.87944,6406.87944,6406.87944,6406.87944
Hydro,H0007,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Reservoir,"NREL, 2023",Hydropower - NPD 3 - Advanced,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,6539.4056,6539.4056,6539.4056,6539.4056,6539.4056,3541.2728,3220.8202,3220.8202
Hydro,H0008,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Reservoir,"NREL, 2023",Hydropower - NPD 3 - Moderate,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,6539.4056,6539.4056,6539.4056,6539.4056,6539.4056,5133.75928,3579.2926,3579.2926
Hydro,H0009,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Reservoir,"NREL, 2023",Hydropower - NPD 3 - Conservative,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,6539.4056,6539.4056,6539.4056,6539.4056,6539.4056,6539.4056,6539.4056,6539.4056
Hydro,H0010,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Reservoir,"NREL, 2023",Hydropower - NPD 4 - Advanced,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,14351.93136,14351.93136,14351.93136,14351.93136,14351.93136,8526.21172,7754.95292,7754.95292
Hydro,H0011,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Reservoir,"NREL, 2023",Hydropower - NPD 4 - Moderate,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,14351.93136,14351.93136,14351.93136,14351.93136,14351.93136,11662.30208,8615.28668,8615.28668
Hydro,H0012,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Reservoir,"NREL, 2023",Hydropower - NPD 4 - Conservative,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,14351.93136,14351.93136,14351.93136,14351.93136,14351.93136,14351.93136,14351.93136,14351.93136
Hydro,H0013,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Lock,"NREL, 2023",Hydropower - NPD 5 - Advanced,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,5260.85404,5260.85404,5260.85404,5260.85404,5260.85404,5714.91908,5198.93608,5198.93608
Hydro,H0014,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Lock,"NREL, 2023",Hydropower - NPD 5 - Moderate,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,5260.85404,5260.85404,5260.85404,5260.85404,5260.85404,5638.87948,5775.75076,5775.75076
Hydro,H0015,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Lock,"NREL, 2023",Hydropower - NPD 5 - Conservative,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,5260.85404,5260.85404,5260.85404,5260.85404,5260.85404,5260.85404,5260.85404,5260.85404
Hydro,H0016,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Lock,"NREL, 2023",Hydropower - NPD 6 - Advanced,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,7921.15376,7921.15376,7921.15376,7921.15376,7921.15376,8604.42388,7826.6474,7826.6474
Hydro,H0017,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Lock,"NREL, 2023",Hydropower - NPD 6 - Moderate,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,7921.15376,7921.15376,7921.15376,7921.15376,7921.15376,8490.36448,8695.6714,8695.6714
Hydro,H0018,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Lock,"NREL, 2023",Hydropower - NPD 6 - Conservative,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,7921.15376,7921.15376,7921.15376,7921.15376,7921.15376,7921.15376,7921.15376,7921.15376
Hydro,H0019,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Lock,"NREL, 2023",Hydropower - NPD 7 - Advanced,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,15921.60596,15921.60596,15921.60596,15921.60596,15921.60596,13245.01204,12045.75892,12045.75892
Hydro,H0020,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Lock,"NREL, 2023",Hydropower - NPD 7 - Moderate,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,15921.60596,15921.60596,15921.60596,15921.60596,15921.60596,14932.00488,13384.05588,13384.05588
Hydro,H0021,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Lock,"NREL, 2023",Hydropower - NPD 7 - Conservative,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,15921.60596,15921.60596,15921.60596,15921.60596,15921.60596,15921.60596,15921.60596,15921.60596
Hydro,H0022,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Lock,"NREL, 2023",Hydropower - NPD 8 - Advanced,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,21668.02716,21668.02716,21668.02716,21668.02716,21668.02716,20092.92116,18274.48844,18274.48844
Hydro,H0023,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,Lock,"NREL, 2023",Hydropower - NPD 8 - Moderate,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,21668.02716,21668.02716,21668.02716,21668.02716,21668.02716,21409.49252,20305.83204,20305.83204
Hydro,H0024,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,RoR,"NREL, 2023",Hydropower - NPD 8 - Conservative,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,21668.02716,21668.02716,21668.02716,21668.02716,21668.02716,21668.02716,21668.02716,21668.02716
Hydro,H0025,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,RoR,"NREL, 2023",Hydropower - NSD 1 - Advanced,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,8960.72372,8960.72372,8960.72372,8960.72372,8960.72372,8960.72372,8960.72372,8960.72372
Hydro,H0026,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,RoR,"NREL, 2023",Hydropower - NSD 1 - Moderate,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,9191.01508,9191.01508,9191.01508,9191.01508,9191.01508,9191.01508,9191.01508,9191.01508
Hydro,H0027,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,RoR,"NREL, 2023",Hydropower - NSD 1 - Conservative,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,9237.72512,9237.72512,9237.72512,9237.72512,9237.72512,9237.72512,9237.72512,9237.72512
Hydro,H0028,North America,United States of America,US,USA,Capital Cost,CAPEX,USD/kW,RoR,"NREL, 2023",Hydropower - NSD 2 - Advanced,From 2021 USD to 2023 USD = 1.08628,,,,,,,,,7999.36592,7999.36592,7999.36592,7999.36592,7999.36592,7999.36592,7999.36592,7999.36592
